Name in English,Number of speakers,Degree of endangerment
Uspantek,3971,Vulnerable
Khang Quang Lam,3921,Severely endangered
Konni,3800,Vulnerable
Tocho,3800,Severely endangered
Mixtec of the Puebla-Oaxaca border,3791,Definitely endangered
Nupri,3776,Definitely endangered
Ayoreo,3700,Definitely endangered
Moyon,3700,Definitely endangered
Utsat,3700,Definitely endangered
Nayi,3656,Vulnerable
Mussau-Emira,3651,Definitely endangered
Narim,3623,Definitely endangered
Garífuna (Guatemala),3564,Vulnerable
Nachiring,3553,Severely endangered
Eastern Popoloc,3544,Vulnerable
Nding,3513,Critically endangered
Anung (Myanmar),3500,Severely endangered
Camsá,3500,Definitely endangered
Crow,3500,Definitely endangered
Sak (Myanmar),3500,Vulnerable
Shwai,3500,Critically endangered
Wano,3500,Definitely endangered
Northwestern Ojibwe,3465,Vulnerable
Bakpinka,3416,Critically endangered
Morokodo,3400,Severely endangered
Eloxochitlán Mazatec,3384,Vulnerable
Menik,3375,Definitely endangered
Teribe (Panama),3305,Definitely endangered
Tima,3305,Severely endangered
Mursi,3278,Vulnerable
Pendau,3200,Vulnerable
Ayautla Mazatec,3192,Vulnerable
Yucatec,3155,Definitely endangered
Sayultec,3150,Definitely endangered
Eastern Tlapanec,3088,Vulnerable
Juhur (Caucasus),3016,Definitely endangered
Awjila,3000,Severely endangered
Baleasang,3000,Definitely endangered
Benga,3000,Definitely endangered
Besoa,3000,Vulnerable
Boni,3000,Definitely endangered
Bonjo,3000,Severely endangered
Brokshat,3000,Definitely endangered
Budukh,3000,Severely endangered
Dahaalik,3000,Critically endangered
East Greenlandic,3000,Definitely endangered
Eastern Khanty,3000,Definitely endangered
Fyem,3000,Severely endangered
Geta?,3000,Severely endangered
Gura,3000,Severely endangered
Harsusi,3000,Definitely endangered
Hozo,3000,Definitely endangered
Jemez,3000,Vulnerable
Kamara,3000,Definitely endangered
Kapingamarangi,3000,Severely endangered
Koitabu,3000,Vulnerable
Kuk,3000,Definitely endangered
Lai,3000,Definitely endangered
Limirong Tibetan,3000,Definitely endangered
Lishanid Noshan (Israel),3000,Severely endangered
Lude,3000,Severely endangered
"Mbya Guarani (Argentina, Uruguay)",3000,Severely endangered
"Mohawk (Akwesasne, St. Regis)",3000,Definitely endangered
Nanay,3000,Severely endangered
Palu'e,3000,Definitely endangered
Panare,3000,Vulnerable
Pilagá,3000,Vulnerable
Pitjantjatjara,3000,Vulnerable
Pukur,3000,Definitely endangered
Rotuman,3000,Vulnerable
Savi,3000,Definitely endangered
Sherdukpen,3000,Vulnerable
Shira Yugur,3000,Severely endangered
Takahanyilang,3000,Critically endangered
U,3000,Definitely endangered
Ulithian,3000,Severely endangered
Waima'a,3000,Definitely endangered
Warlpiri,3000,Vulnerable
Yukpa,3000,Vulnerable
Western Montagnais,2980,Vulnerable
Waiwai (Brazil),2916,Vulnerable
Jersey French,2874,Severely endangered
Bahing,2765,Definitely endangered
Stoney,2765,Vulnerable
Southwestern Tepehuan,2756,Vulnerable
Northern Mansi,2746,Severely endangered
Bisu,2740,Definitely endangered
Wari,2721,Definitely endangered
Pakan,2700,Definitely endangered
Yami,2700,Vulnerable
Ko,2683,Critically endangered
Yuracaré,2675,Definitely endangered
Aimol,2643,Critically endangered
Kohi,2641,Vulnerable
Chatino of the western lowlands,2640,Definitely endangered
Bolo,2627,Definitely endangered
Logol,2600,Severely endangered
Sila,2600,Definitely endangered
Pisaflores Tepehua,2578,Vulnerable
Xerente,2569,Severely endangered
Bribri (Panama),2521,Severely endangered
Achuar,2500,Definitely endangered
Bai,2500,Definitely endangered
Banka,2500,Definitely endangered
Culina (Peru),2500,Definitely endangered
Gadang,2500,Definitely endangered
Khinalug,2500,Severely endangered
Laomian (China),2500,Definitely endangered
Laomian (Myanmar),2500,Definitely endangered
Lhokpu,2500,Definitely endangered
Martuwangka,2500,Vulnerable
Mayoruna (Peru),2500,Vulnerable
Pingelapese,2500,Severely endangered
Rapanui,2500,Severely endangered
Remo,2500,Severely endangered
Roshorvi,2500,Severely endangered
Sanglechi,2500,Severely endangered
Semelai,2500,Severely endangered
Urak Lawoi (Malaysia),2500,Definitely endangered
Urak Lawoi (Thailand),2500,Definitely endangered
Zirenkel,2500,Definitely endangered
Vumbu,2460,Definitely endangered
Mopán (Guatemala),2455,Severely endangered
Cuiba,2445,Severely endangered
Raji,2413,Severely endangered
Highland Chontal,2410,Severely endangered
Yasa,2401,Definitely endangered
Bumbita Arapesh,2353,Vulnerable
Mang (China),2300,Definitely endangered
Mang (Viet Nam),2300,Definitely endangered
Tlachichilco Tepehua,2234,Definitely endangered
Blackfoot (Canada),2200,Definitely endangered
Jaya,2200,Severely endangered
Karipuna do Amapá,2200,Vulnerable
Kulfa,2200,Definitely endangered
Krahô,2184,Vulnerable
Kristang,2150,Severely endangered
Yine,2150,Definitely endangered
North Alaskan Inupiaq (Kotzebue Sound),2144,Severely endangered
North Alaskan Inupiaq (North Slope),2144,Severely endangered
Seward Peninsula Inupiaq (King Island),2144,Critically endangered
Seward Peninsula Inupiaq (Little Diomede Island),2144,Critically endangered
Seward Peninsula Inupiaq (Norton Sound),2144,Critically endangered
Katukína-Kanamarí,2100,Vulnerable
Tiwi,2100,Vulnerable
Zaozou,2100,Vulnerable
Ngäbere (Costa Rica),2041,Definitely endangered
Aiton,2000,Severely endangered
Anindilyakwa,2000,Vulnerable
Apurinã,2000,Definitely endangered
Arrernte,2000,Vulnerable
Ashkun,2000,Definitely endangered
Ata,2000,Critically endangered
Athpahariya,2000,Definitely endangered
Ava-Guaraní,2000,Definitely endangered
Bayso,2000,Definitely endangered
Birhor,2000,Critically endangered
Boano,2000,Vulnerable
Bori,2000,Definitely endangered
Chepya,2000,Definitely endangered
Chilisso,2000,Severely endangered
Culina (Brazil),2000,Vulnerable
Damana,2000,Definitely endangered
Duguza,2000,Definitely endangered
Galibi Marworno,2000,Vulnerable
Gats'ama - Ganjule - Harro,2000,Definitely endangered
Gebe,2000,Vulnerable
Ghadames,2000,Vulnerable
Griko (Calabria),2000,Severely endangered
Huilliche,2000,Critically endangered
Ik,2000,Severely endangered
Jangshung,2000,Definitely endangered
Jero,2000,Vulnerable
Kari'ña (French Guyana),2000,Definitely endangered
Khamnigan Mongol,2000,Definitely endangered
Kona,2000,Severely endangered
Koreguaje,2000,Definitely endangered
Koryak,2000,Severely endangered
Kota,2000,Critically endangered
Logorik,2000,Critically endangered
Lule Saami,2000,Severely endangered
Luro,2000,Critically endangered
Mambai,2000,Severely endangered
Milang,2000,Definitely endangered
Mocoví,2000,Definitely endangered
Momuna,2000,Vulnerable
Mpi,2000,Definitely endangered
Muda,2000,Vulnerable
Munji,2000,Severely endangered
Nguon,2000,Vulnerable
Nheengatu / Yeral (Venezuela),2000,Severely endangered
Nihali,2000,Critically endangered
Nyishangba,2000,Definitely endangered
Ottawa (Walpole Island),2000,Severely endangered
Prasun,2000,Definitely endangered
Rukai,2000,Vulnerable
Sáliba,2000,Severely endangered
Sangkong,2000,Vulnerable
Sarwa,2000,Definitely endangered
Shoshoni (Idaho),2000,Severely endangered
Shoshoni (Nevada),2000,Severely endangered
Shoshoni (Wyoming),2000,Severely endangered
Tai Phake,2000,Severely endangered
Tamazight (Arzew),2000,Critically endangered
Tanglang,2000,Vulnerable
Tchitchege,2000,Definitely endangered
Tinan,2000,Definitely endangered
Tsafiki,2000,Definitely endangered
Ukhwejo,2000,Severely endangered
Urarina,2000,Vulnerable
Ushojo,2000,Definitely endangered
Waigali,2000,Definitely endangered
Waotededo,2000,Vulnerable
Wotapuri-Katarqalai,2000,Definitely endangered
Wutun,2000,Definitely endangered
Candoshi,1900,Definitely endangered
Hupda (Brazil),1900,Vulnerable
Mixtec of the central Ravine,1878,Definitely endangered
Kendeje,1859,Definitely endangered
Hunzib,1839,Definitely endangered
Tchumbuli,1838,Critically endangered
Cashibo-Cacataibo,1800,Definitely endangered
Grass Koiari,1800,Vulnerable
Isirawa,1800,Vulnerable
Lanoh,1800,Critically endangered
Lemolang,1800,Vulnerable
Nila (Seram Island),1800,Definitely endangered
Shixing,1800,Definitely endangered
Chuj (Mexico),1771,Critically endangered
Darma,1761,Definitely endangered
Kung,1750,Severely endangered
Lokono (Guyana),1750,Critically endangered
Byangsi,1734,Definitely endangered
Pasing,1732,Definitely endangered
Yamphu,1722,Definitely endangered
Andio,1700,Vulnerable
Cheyenne (Montana),1700,Definitely endangered
Kumzari,1700,Severely endangered
Quechua of Yauyos,1700,Critically endangered
Bainouk-Samik,1685,Severely endangered
Côông,1676,Definitely endangered
Dogrib,1675,Vulnerable
Upland Yuman,1650,Vulnerable
Eastern Cuicatec,1641,Vulnerable
Tamazight (Ait Rouadi),1637,Extinct
Woleaian,1631,Severely endangered
Huehuetla Tepehua,1603,Definitely endangered
Kadiwéu,1600,Definitely endangered
Southern Tiwa (Isleta Pueblo),1600,Definitely endangered
Southern Tiwa (Sandia Pueblo),1600,Definitely endangered
Tewa (Arizona),1600,Definitely endangered
Tewa (New Mexico),1600,Severely endangered
ǁGana,1550,Vulnerable
Akwáwa,1548,Vulnerable
Northern Cuicatec,1503,Vulnerable
Chiquihuitlán Mazatec,1502,Definitely endangered
Apinajé,1500,Vulnerable
Bashkarik,1500,Severely endangered
Chintang,1500,Severely endangered
Forest Nenets,1500,Severely endangered
Hupda (Colombia),1500,Definitely endangered
Jah Hut,1500,Severely endangered
Jeri,1500,Severely endangered
Jonkor Bourmataguil,1500,Severely endangered
K'emant,1500,Severely endangered
Kanashi,1500,Definitely endangered
Karajá,1500,Vulnerable
Karelian (Tikhvin),1500,Severely endangered
Kendem,1500,Severely endangered
Khamba,1500,Definitely endangered
Lishpa,1500,Definitely endangered
Mayoruna (Brazil),1500,Vulnerable
Mescalero-Chiricahua Apache (New Mexico),1500,Definitely endangered
Numao Bunu,1500,Definitely endangered
Orang Seletar,1500,Severely endangered
Palenque Creole,1500,Definitely endangered
Pong,1500,Definitely endangered
Pyuma,1500,Vulnerable
Saaroa,1500,Critically endangered
Saluan,1500,Vulnerable
Semaq Beri,1500,Critically endangered
Talodi,1500,Critically endangered
Wayana (Suriname),1500,Vulnerable
Wik Mungkan,1500,Vulnerable
Natsilingmiutut,1455,Vulnerable
Movima,1452,Severely endangered
Ngombe,1450,Definitely endangered
Cinta Larga,1440,Vulnerable
Dupaninan Agta,1400,Vulnerable
Tese,1400,Critically endangered
Bororo,1390,Definitely endangered
Puluwat,1364,Severely endangered
Kanela Rankokamekra,1337,Vulnerable
Saba,1335,Definitely endangered
Kurripako (Brazil),1332,Vulnerable
Triw,1328,Definitely endangered
Guernsey French,1327,Severely endangered
Paafang,1318,Severely endangered
Chɨlɨng,1314,Definitely endangered
Zapotec of the Valleys north,1303,Severely endangered
Cypriot Arabic,1300,Severely endangered
Palikur (Brazil),1300,Vulnerable
Sanenyo,1300,Critically endangered
Tecóatl Mazatec,1300,Vulnerable
Xinka,1283,Critically endangered
Ozomatlán Totonac,1276,Critically endangered
Kāgate,1273,Definitely endangered
Maxakali,1271,Vulnerable
Murik,1256,Vulnerable
Pengo,1254,Critically endangered
Marúbo,1252,Vulnerable
Aivilingmiutut,1245,Vulnerable
Besme,1228,Severely endangered
Oirata,1221,Definitely endangered
Lohorung,1207,Severely endangered
Harakmbut,1206,Definitely endangered
Buyang,1200,Severely endangered
Dakka,1200,Vulnerable
Mah Meri,1200,Severely endangered
Manjui,1200,Definitely endangered
Te'un (Seram Island),1200,Definitely endangered
Tsou,1200,Vulnerable
Ujir,1200,Definitely endangered
White Gelao (China),1200,Severely endangered
Dakkang,1198,Definitely endangered
Northern Algonquin,1180,Vulnerable
Akawaio (Brazil),1170,Vulnerable
Huehuetlán Mazatec,1169,Vulnerable
Trio (Brazil),1156,Vulnerable
Savo,1147,Definitely endangered
Tektitek,1144,Definitely endangered
Fwâi,1131,Vulnerable
Waimirí-Atroarí,1120,Vulnerable
Guayabero,1118,Definitely endangered
Fagauvea (Northern),1107,Vulnerable
Fagauvea (Southern),1107,Vulnerable
Fania,1100,Severely endangered
Ubi,1100,Severely endangered
Warnang,1100,Severely endangered
Itzá,1094,Critically endangered
Mixtec of the southwest of Puebla,1074,Definitely endangered
Lowland Chontal,1060,Critically endangered
Koireng,1056,Critically endangered
Chipaya,1050,Definitely endangered
Mokilese,1050,Critically endangered
Western Náhuatl,1041,Severely endangered
Acatepec Mazatec,1038,Vulnerable
Mixtec of Villa de Tututepec,1019,Definitely endangered
Toda,1006,Critically endangered
Adabe,1000,Vulnerable
Alutor,1000,Severely endangered
Arapaho (Wyoming),1000,Severely endangered
Beeke,1000,Severely endangered
Blackfoot (United States of America),1000,Definitely endangered
Bohtan Neo-Aramaic,1000,Severely endangered
Bola,1000,Definitely endangered
Bong'om,1000,Definitely endangered
Bora,1000,Vulnerable
Central Siberian Yupik (St. Lawrence Island),1000,Definitely endangered
Chali,1000,Definitely endangered
Cherokee (North Carolina),1000,Severely endangered
Cocama-Cocamilla (Peru),1000,Severely endangered
Dair,1000,Severely endangered
Dakpa,1000,Definitely endangered
Dampelas,1000,Definitely endangered
Danaw,1000,Critically endangered
Ega,1000,Severely endangered
El Hugeirat,1000,Severely endangered
Faghani,1000,Vulnerable
Fongoro,1000,Severely endangered
Gambiri,1000,Severely endangered
Gongduk,1000,Vulnerable
Gorap,1000,Definitely endangered
Guugu Yimidhirr,1000,Vulnerable
Gyem,1000,Critically endangered
Habu,1000,Vulnerable
Hawaiian,1000,Critically endangered
Hértevin,1000,Critically endangered
Hu,1000,Definitely endangered
Hualapai,1000,Vulnerable
Hung,1000,Definitely endangered
Inkhokvari,1000,Definitely endangered
Ishkashimi,1000,Severely endangered
Iyive,1000,Severely endangered
Jiongnai Bunu,1000,Definitely endangered
Kaande,1000,Severely endangered
Kaco',1000,Definitely endangered
Kadu,1000,Severely endangered
Kairui-Midiki,1000,Vulnerable
Kari,1000,Severely endangered
Kayabi,1000,Vulnerable
Khowa,1000,Definitely endangered
Kodeoha,1000,Vulnerable
Kujarge,1000,Definitely endangered
Kukatja,1000,Vulnerable
Kuot,1000,Vulnerable
Lokono (Suriname),1000,Severely endangered
Mahongwe,1000,Severely endangered
Manchurian Ölöt,1000,Severely endangered
May,1000,Definitely endangered
Mbara,1000,Severely endangered
Mech,1000,Severely endangered
Mòcheno,1000,Definitely endangered
Naueti,1000,Vulnerable
North Greenlandic,1000,Definitely endangered
Ormuri,1000,Definitely endangered
Paiter,1000,Vulnerable
Pareci,1000,Definitely endangered
Pasi,1000,Definitely endangered
Resian,1000,Definitely endangered
Sach,1000,Definitely endangered
Sake,1000,Severely endangered
Saterlandic,1000,Severely endangered
She,1000,Critically endangered
Shumashti,1000,Severely endangered
Sighu,1000,Severely endangered
Sobei,1000,Definitely endangered
Thavung (Laos),1000,Definitely endangered
Tirma,1000,Critically endangered
Tombelala,1000,Vulnerable
Toto,1000,Critically endangered
Trio (Suriname),1000,Vulnerable
Tum,1000,Definitely endangered
Tuotomb,1000,Severely endangered
Yatê,1000,Severely endangered
Zaiwa,1000,Definitely endangered
Zay,1000,Severely endangered
Zenaga (Western Sahara),1000,Critically endangered
|Gui,1000,Vulnerable
ǁAni,1000,Definitely endangered
Buglé,993,Definitely endangered
Ka'apór,991,Vulnerable
Hadza,975,Vulnerable
Kunwinjku,974,Vulnerable
Bakairi,950,Vulnerable
Drubea,946,Vulnerable
Namonuito,944,Severely endangered
Hya,940,Severely endangered
Machineri (Brazil),937,Vulnerable
South Slavey,920,Definitely endangered
Wajãpi,905,Vulnerable
Mewahang,904,Severely endangered
Awapit,900,Severely endangered
Chimila,900,Severely endangered
Kua,900,Definitely endangered
Njalgulgule,900,Severely endangered
Pech,900,Severely endangered
Rikbaktsa,900,Severely endangered
Caac,890,Vulnerable
Inuinnaqtun,890,Definitely endangered
Voh-Koné dialects,878,Definitely endangered
Kuna (Colombia),876,Severely endangered
Dení,875,Vulnerable
Tarao,870,Critically endangered
Santa María del Mar Huave,862,Severely endangered
Nukuoro,860,Definitely endangered
Mixtec of Santa Cruz Itundujia,851,Definitely endangered
"Zapotec of the Southern mountains, northeast",849,Definitely endangered
Kumak,847,Vulnerable
Pukapukan,840,Definitely endangered
Lola,830,Vulnerable
Ashaninka (Brazil),813,Vulnerable
Ottawa (Canada),810,Severely endangered
Bati,800,Severely endangered
Chorote Iyojwa'ja,800,Severely endangered
Eman,800,Severely endangered
Isu,800,Severely endangered
Jamamadí,800,Vulnerable
Javaé,800,Definitely endangered
Nubaca,800,Severely endangered
Panasuan,800,Definitely endangered
Piaroa (Colombia),800,Definitely endangered
Taos,800,Definitely endangered
Taulil,800,Vulnerable
Tuyuca (Brazil),800,Vulnerable
Kaike,794,Definitely endangered
Kildin Saami,787,Severely endangered
Ese eja,782,Definitely endangered
Central Cagayan Agta,779,Vulnerable
Mixtec of Santa Inés de Zaragoza,775,Definitely endangered
Ocopetatillo Mazatec,757,Vulnerable
Jaqaru,750,Severely endangered
Waiwai (Suriname),750,Critically endangered
Laal,749,Critically endangered
Ulcha,732,Critically endangered
Jawe,729,Vulnerable
Maslam,723,Severely endangered
Nambiquara do Sul,721,Vulnerable
North Slavey,720,Definitely endangered
Gitksan,710,Severely endangered
A'ingae / Cofan (Ecuador),700,Definitely endangered
Animere,700,Critically endangered
Batek,700,Critically endangered
Enggano,700,Vulnerable
Indri,700,Severely endangered
Kalaw Lagaw Ya,700,Definitely endangered
Lakon,700,Vulnerable
Mok (China),700,Definitely endangered
Ngaanyatjarra,700,Vulnerable
Ngatikese Men's Creole,700,Definitely endangered
Piratapuya (Brazil),700,Severely endangered
Mountain Guarijío,696,Vulnerable
Nivkh (Sakhalin),688,Severely endangered
Krikati,682,Vulnerable
Dakota,675,Definitely endangered
Carrier,660,Severely endangered
Matlatzinca,651,Definitely endangered
Kasanga,650,Critically endangered
Wanano / Kotiria (Brazil),650,Vulnerable
Central Popoloc,641,Severely endangered
Eastern Ojibwe,620,Severely endangered
River Guarijío,617,Vulnerable
Yuhup (Brazil),617,Vulnerable
Ocoyoacac Otomí,609,Severely endangered
Akum,600,Critically endangered
Blablanga,600,Definitely endangered
Bubia,600,Severely endangered
Chickasaw,600,Severely endangered
Desano (Brazil),600,Definitely endangered
Faetar,600,Definitely endangered
Hixkaryána,600,Vulnerable
Hoava,600,Vulnerable
Hodi,600,Vulnerable
Iñapari,600,Critically endangered
Koke,600,Severely endangered
Kowiai,600,Vulnerable
Kuikuro,600,Vulnerable
Laiyolo,600,Definitely endangered
Mo'da,600,Critically endangered
Northern Selkup,600,Severely endangered
Penrhyn,600,Severely endangered
Pintupi,600,Vulnerable
Piratapuya (Colombia),600,Critically endangered
Siona / Secoya (Ecuador),600,Severely endangered
Sonsorol,600,Severely endangered
Teanu,600,Definitely endangered
Yaminahua (Brazil),600,Vulnerable
Andoke,597,Severely endangered
Southern Tlapanec,592,Severely endangered
Orowe,587,Definitely endangered
Mosetén,585,Severely endangered
Chatong,580,Definitely endangered
Norfolk-Pitcairn (Norfolk),580,Definitely endangered
Nunatsiavummiutut,575,Definitely endangered
Shuswap,570,Definitely endangered
Xaragure,566,Vulnerable
Tapirapé,564,Vulnerable
Lacandón,563,Critically endangered
Zapotec of Zimatlán de Álvarez,562,Definitely endangered
Chilcotin,560,Definitely endangered
Chácobo,550,Definitely endangered
Gao,550,Vulnerable
Geme,550,Critically endangered
Karore,550,Vulnerable
Yuhup (Colombia),550,Definitely endangered
Western Tlapanec,549,Vulnerable
Hinukh,548,Definitely endangered
Anuki,542,Definitely endangered
Imeraguen,534,Definitely endangered
Narpa,533,Definitely endangered
Akatek (Mexico),532,Vulnerable
Naskapi,525,Vulnerable
Archi,524,Definitely endangered
Yawanawá,519,Vulnerable
Raute,518,Severely endangered
Seri,518,Vulnerable
Western Popoloc,516,Severely endangered
Yaqui (United States of America),510,Definitely endangered
Kalapalo,506,Vulnerable
Nganasan,505,Severely endangered
Jakaltek (Mexico),504,Severely endangered
Zapotec of San Antonino el Alto,504,Definitely endangered
Purum,503,Critically endangered
Aheu,500,Definitely endangered
Amahuaca,500,Severely endangered
Anfillo,500,Critically endangered
Arbanasi,500,Severely endangered
Baniva,500,Severely endangered
Bataan Ayta,500,Definitely endangered
Bats,500,Severely endangered
Black Mountain,500,Definitely endangered
Busoa,500,Vulnerable
Chong,500,Severely endangered
Domaaki,500,Severely endangered
Ganan,500,Severely endangered
Havasupai,500,Definitely endangered
Kensiw (Thailand),500,Severely endangered
Khmin,500,Vulnerable
Khvarshi,500,Definitely endangered
Kundal Shahi,500,Definitely endangered
Laghuu,500,Definitely endangered
Laha (Lao Cai),500,Definitely endangered
Laha (Son La),500,Definitely endangered
Langa,500,Severely endangered
Laxudumau,500,Vulnerable
Majera,500,Critically endangered
Maliseet-Passamaquoddy,500,Severely endangered
Mikasuki,500,Vulnerable
Mlomp,500,Critically endangered
Onin,500,Vulnerable
Ormu,500,Vulnerable
Palikur (French Guyana),500,Severely endangered
Pemon (Brazil),500,Vulnerable
Quechua of Chachapoyas,500,Critically endangered
Samatu,500,Critically endangered
Seke,500,Vulnerable
Siona / Secoya (Colombia),500,Critically endangered
South Saami,500,Severely endangered
Taikat,500,Definitely endangered
Taloki,500,Definitely endangered
Tamki,500,Critically endangered
Tawahka,500,Severely endangered
Thavung (Thailand),500,Severely endangered
Tomadino,500,Definitely endangered
Toratán,500,Definitely endangered
Tunisian Judeo-Arabic (Tunisia),500,Critically endangered
Ulwa,500,Severely endangered
"Ute (Colorado, Ute Mountain)",500,Severely endangered
Walmajarri,500,Definitely endangered
Warekena (Venezuela),500,Severely endangered
Boguru,494,Critically endangered
Pukobyê,494,Vulnerable
Swoeng,492,Definitely endangered
Wali,487,Critically endangered
Gavião do Pará,476,Vulnerable
Malecite,475,Definitely endangered
Ninam (Brazil),466,Vulnerable
Zoró,464,Vulnerable
Sanema (Brazil),462,Vulnerable
Ixtenco Otomí,461,Severely endangered
Ottawa (Michigan),459,Critically endangered
Kanela Apaniekra,458,Vulnerable
Satawal,458,Severely endangered
Chatino of Zacatepec,453,Definitely endangered
Demisa,450,Definitely endangered
Koasati (Louisiana),450,Definitely endangered
Koasati (Texas),450,Definitely endangered
Nanti,450,Vulnerable
Shabo,450,Severely endangered
Sharanahua,450,Severely endangered
Siona  Secoya (Peru),450,Definitely endangered
Tolomako,450,Definitely endangered
Enawenê-Nawê,445,Vulnerable
Valle Nacional Chinantec,442,Definitely endangered
Gavião de Rondônia,436,Vulnerable
Tabasco Náhuatl,434,Critically endangered
Sera,432,Severely endangered
Yecuana (Brazil),430,Vulnerable
Alabugat Tatar,422,Definitely endangered
"Zapotec of the Southern mountains, eastern lowlands",420,Definitely endangered
Western Otomí,415,Severely endangered
Moose Cree,405,Vulnerable
Tlahuica,405,Severely endangered
Katukina do Acre,404,Severely endangered
Abai Sungai,400,Definitely endangered
Barasana (Colombia),400,Critically endangered
Beezen,400,Severely endangered
Buga,400,Critically endangered
Cheyenne (Oklahoma),400,Severely endangered
Cimbrian,400,Definitely endangered
Cobiana,400,Critically endangered
Dagur (Amur),400,Critically endangered
Dahalo,400,Severely endangered
Émérillon,400,Severely endangered
Gagauz (Maritime),400,Severely endangered
Hijuk,400,Critically endangered
Hobyot,400,Severely endangered
Inari Saami,400,Severely endangered
Istriot,400,Severely endangered
Kalao,400,Definitely endangered
Kamaiurá,400,Vulnerable
Kickapoo (Kansas),400,Severely endangered
Kickapoo (Oklahoma),400,Severely endangered
Kickapoo (Texas),400,Severely endangered
Kiowa,400,Severely endangered
Koroni,400,Definitely endangered
Lamongse,400,Critically endangered
Ndunda,400,Severely endangered
Northern Paiute (Nevada),400,Definitely endangered
Pupeo,400,Definitely endangered
Rapa,400,Severely endangered
Red Gelao (China),400,Critically endangered
Sengseng,400,Vulnerable
Sirionó,400,Severely endangered
Talondo,400,Definitely endangered
"Yaminahua (Bolivia, Peru)",400,Severely endangered
Mixtec of Zapotitlán,396,Severely endangered
Sanema (Venezuela),393,Vulnerable
Ts'ixa,390,Definitely endangered
Pirahã,389,Vulnerable
Mixtec of San Pedro Tidaá,384,Severely endangered
Yerong,380,Severely endangered
A'ingae / Cofan (Colombia),379,Severely endangered
Halkomelem,375,Severely endangered
Yudja,362,Vulnerable
Kisêdjê,351,Vulnerable
Auye,350,Vulnerable
Awyi,350,Vulnerable
Bierebo,350,Vulnerable
Fayu,350,Vulnerable
Labo,350,Vulnerable
Mra,350,Critically endangered
Myky,350,Vulnerable
Na,350,Critically endangered
Nadëb,350,Definitely endangered
Taje,350,Critically endangered
Tenharim,350,Severely endangered
Mako,345,Critically endangered
Barām,342,Critically endangered
Ikpeng,342,Vulnerable
Gardiol,340,Severely endangered
Araweté,339,Vulnerable
Northern Pame,337,Definitely endangered
Thompson,335,Severely endangered
Serili,328,Vulnerable
Kaningara,327,Vulnerable
Misantla Totonac,325,Critically endangered
Nemi,325,Definitely endangered
Nambiquara do Norte,323,Vulnerable
Matís,322,Vulnerable
Wauja,321,Vulnerable
Benggoi,320,Definitely endangered
Karitiana,320,Vulnerable
Apalai,317,Vulnerable
Kwak'wala,315,Critically endangered
Southern Zoque,312,Definitely endangered
Tilung,310,Definitely endangered
Opuuo,307,Critically endangered
Panará,306,Vulnerable
Aka,300,Critically endangered
Bakole,300,Critically endangered
Bathari,300,Critically endangered
Brokkat,300,Definitely endangered
Duwet,300,Vulnerable
Faire Atta,300,Severely endangered
Green Gelao (China),300,Critically endangered
Green Gelao (Viet Nam),300,Critically endangered
Guatuso,300,Severely endangered
Gupapuyngu,300,Vulnerable
Istro-Romanian,300,Severely endangered
Jicarilla Apache,300,Severely endangered
Kandas,300,Vulnerable
Kangjia,300,Severely endangered
Kaxarari,300,Critically endangered
Kwansu,300,Vulnerable
Legenyem,300,Vulnerable
Mandaic,300,Critically endangered
Mangareva,300,Severely endangered
Mani,300,Critically endangered
Maniq,300,Definitely endangered
Mono,300,Critically endangered
Northern Paiute (Oregon),300,Critically endangered
Phong,300,Definitely endangered
Shanenawa,300,Vulnerable
Sissano,300,Critically endangered
Skolt Saami,300,Severely endangered
Tarpia,300,Severely endangered
Tause,300,Vulnerable
Thaayorre,300,Definitely endangered
Tlingit (United States of America),300,Critically endangered
Tol,300,Critically endangered
Tsakonian,300,Critically endangered
Tuahka,300,Severely endangered
Ute (Utah),300,Severely endangered
Vedda,300,Definitely endangered
Vera'a,300,Definitely endangered
Warapu,300,Severely endangered
Waru,300,Definitely endangered
Yawarana,300,Severely endangered
Yimas,300,Severely endangered
Tilapa Otomí,292,Severely endangered
Paumarí,290,Severely endangered
Wayana (Brazil),288,Vulnerable
Achagua,283,Severely endangered
Guajá,283,Vulnerable
Maniwaki Algonquin,280,Severely endangered
Alabama,275,Definitely endangered
Cocopa (Arizona),275,Severely endangered
Miltu,272,Critically endangered
Arara do Pará,271,Vulnerable
Kaki Ae,266,Vulnerable
Nisga'a,265,Severely endangered
"Zapotec of the Valleys, central",257,Severely endangered
Bosilewa,250,Vulnerable
Caquinte Campa,250,Definitely endangered
Gwich'in (Canada),250,Severely endangered
Kaibobo,250,Definitely endangered
Kaiep,250,Vulnerable
Kaiy,250,Vulnerable
Laji,250,Critically endangered
Lehali,250,Vulnerable
Lillooet,250,Severely endangered
Löyöp,250,Vulnerable
Nyangumarta,250,Vulnerable
Pear,250,Severely endangered
Ruc,250,Definitely endangered
Sause,250,Severely endangered
Texistepecan,250,Severely endangered
Winnebago (Nebraska),250,Severely endangered
Winnebago (Wisconsin),250,Severely endangered
Zapotec of San Bartolo Yautepec,246,Severely endangered
Mixtec of San Miguel Piedras,243,Severely endangered
North Alaskan Inupiaq (Canada),240,Severely endangered
Waiwai (Guyana),240,Vulnerable
As,230,Vulnerable
Siglitun,230,Severely endangered
K'iche' (Mexico),226,Definitely endangered
